Epoch,Reward mean,Reward std
1,-12.289870471253504,6.910777685190976
2,-10.87754290714777,3.4120733714898512
3,-10.010060498828517,4.121077462314879
4,-11.962891627656095,5.0201643018753614
5,-10.486375047073595,4.808907926651316
6,-13.719970022743695,3.2574275380278706
7,-10.166814905471801,4.896894036817185
8,-9.049622465518523,3.769068671563604
9,-8.126977126902469,3.280025253331735
10,-8.774774983931135,4.014157719597989
